,kdeğer,yerli,yabancı_g,yabancı_ç,yıl,sınıf,sınıf2
TUR_17T18,0.3184753625431712,0.5520193842214749,0.12950525242932423,0.09176565360129364,2009,1,imalat
TUR_19,0.0832509105553543,0.3958401460237442,0.5209089429462371,0.21593809413554454,2009,1,imalat
TUR_20,0.37758697342594877,0.43234002919559655,0.1900729976194863,0.18972497928776824,2009,1,imalat
TUR_21,0.722132103899453,0.21453872731060777,0.0633291630328723,0.12781105477213547,2009,1,imalat
TUR_22,0.245449839839416,0.5375928118035943,0.21695734976008704,0.19571888820274103,2009,1,imalat
TUR_23,0.31898701621740744,0.5913944279025507,0.08961855637588437,0.10971326018155876,2009,1,imalat
TUR_24,0.12889732032194987,0.7114401379395451,0.15966254173850508,0.29918583701598045,2009,1,imalat
TUR_25,0.32571089068273956,0.5245685557329732,0.149720552988432,0.19401973952982093,2009,1,imalat
TUR_26,0.46035466193036206,0.3171775953657501,0.22246774296178196,0.402357943334125,2009,1,imalat
TUR_27,0.26848823471003325,0.5360658505105624,0.19544591260344002,0.30782195628342085,2009,1,imalat
TUR_28,0.27113367707292274,0.5390891510188146,0.1897771731149007,0.2883552449221524,2009,1,imalat
TUR_29,0.21815693413209708,0.5543363446377119,0.2275067199185643,0.4693791745880243,2009,1,imalat
TUR_30,0.6225812694727424,0.25581764104631305,0.12160108434985856,0.34811624102495026,2009,1,imalat
TUR_31T33,0.3683431493609603,0.5083003299184785,0.12335652207468308,0.13091923937499422,2009,1,imalat
TUR_35,0.18418484374893113,0.7470885049393712,0.068726650570291,0.006287212536731016,2009,4,ins_en_ç
TUR_36T39,0.4177276537804502,0.5339669242698987,0.04830542194965124,0.005245317529863555,2009,4,ins_en_ç
TUR_41T43,0.2921552826670753,0.6308705561558081,0.07697416125008215,0.004922648910722947,2009,4,ins_en_ç
TUR_45T47,0.5853561192395741,0.37907413927342504,0.035569741436208314,0.1310654765066985,2009,5,hizm
TUR_49,0.6238009152357256,0.32142024409320563,0.05477884042478277,0.08974038672061163,2009,5,hizm
TUR_50,0.4269698994596776,0.45005495884490715,0.12297513506526186,0.18633606481303244,2009,5,hizm
TUR_51,0.22702688946944474,0.5854826811581486,0.1874904277908768,0.6899969954377441,2009,5,hizm
TUR_52,0.4289220676746819,0.5055926695904754,0.06548526351527878,0.14467210655862192,2009,5,hizm
TUR_53,0.47994601691964195,0.4764918690231916,0.04356210578816137,0.04917862241156164,2009,5,hizm
TUR_55T56,0.4355025970429125,0.5290040931713039,0.035493309964154125,0.22676202562697492,2009,5,hizm
TUR_58T60,0.3657460887855739,0.5719651299125258,0.062288778872918664,0.06126797319156907,2009,5,hizm
TUR_61,0.8008722588643645,0.1827996506597766,0.016328088832393856,0.040605040409180365,2009,5,hizm
TUR_62T63,0.705846839807459,0.2555203929005361,0.038632765527059895,0.05069794199693919,2009,5,hizm
TUR_64T66,0.8008932180071076,0.16986648290470716,0.029240299388835284,0.05235115670096412,2009,5,hizm
TUR_68,0.884042042550904,0.10393667014217141,0.012021287201782116,0.02415028377576643,2009,5,hizm
TUR_69T75,0.5523744839401314,0.40815394056229637,0.03947157644071876,0.014499779069284124,2009,5,hizm
TUR_77T82,0.6184525606180538,0.34008201239506886,0.04146542736330244,0.03695066452765567,2009,5,hizm
TUR_84,0.7052106049306339,0.26248582063101206,0.03230357413106174,0.006830964827904266,2009,5,hizm
TUR_85,0.8334360539542518,0.15465805491717846,0.01190589079606085,0.013597868427484318,2009,5,hizm
TUR_86T88,0.6486318915449727,0.31683599283008607,0.034532116280591135,0.011624233821932412,2009,5,hizm
TUR_90T93,0.564211775166062,0.4101091236319417,0.025679102634897123,0.2040197120591524,2009,5,hizm
TUR_94T96,0.5281703468809855,0.42034474873765965,0.051484904223205515,0.03285750381208513,2009,5,hizm
TUR_97T98,1.0,0.0,0.0,0.0,2009,5,hizm
TUR_01T02,0.7299461491115727,0.2323874447249354,0.03766640594723741,0.04578171546485868,2010,2,tarım
TUR_03,0.8757650352177782,0.10514525323623211,0.019089696624030098,0.07009903472572514,2010,2,tarım
TUR_05T06,0.7822922694689998,0.17643966440091738,0.04126806613008267,0.23501014261506142,2010,3,maden
TUR_07T08,0.5245941616160513,0.3602573651445889,0.11514847300070401,0.08587136239125823,2010,3,maden
TUR_09,0.6925029942953252,0.26294659252020913,0.044550303008940896,0.004333794732950404,2010,3,maden
TUR_10T12,0.26756958621274357,0.6741416550970417,0.05828875862199416,0.08368149879797081,2010,1,imalat
TUR_13T15,0.3016396910827808,0.5925951810936413,0.10576512806218806,0.26168226123850835,2010,1,imalat
TUR_16,0.29353582029209313,0.5763842116101505,0.13007996472373526,0.08008469793156504,2010,1,imalat
TUR_17T18,0.2978894753980228,0.5556457208786719,0.14646480167935144,0.0837114289222126,2010,1,imalat
TUR_19,0.08751595361442423,0.3433939619855415,0.5690900852935874,0.19408248062525046,2010,1,imalat
TUR_20,0.3790209581317238,0.406279201062212,0.21469984039863974,0.1749623043496813,2010,1,imalat
TUR_21,0.7023281545337032,0.2235776269447849,0.07409421342922849,0.11507689788365724,2010,1,imalat
TUR_22,0.2396863201260691,0.5197412729111504,0.2405724076050162,0.176789631527521,2010,1,imalat
TUR_23,0.3381690300740352,0.5669473823773118,0.09488358725513071,0.09900323103054445,2010,1,imalat
TUR_24,0.18819352602368222,0.6473806124045886,0.16442586198612555,0.2694882707148456,2010,1,imalat
TUR_25,0.33109027958419845,0.5015905211289721,0.16731919920328397,0.18090001378324322,2010,1,imalat
TUR_26,0.33870939628846775,0.3772145678854901,0.28407603274036375,0.3453635135753584,2010,1,imalat
TUR_27,0.22695396133880433,0.5383280893268934,0.2347179486512225,0.2852913564334676,2010,1,imalat
